packet_id,year,accession,ticker,submission_url,item4_sha256,human_specific_active_intent,human_representative_sentence,human_aggregate_ownership_pct_or_unresolved,human_notes
AO13D-001,2025,0001213900-25-045048,MIDD,https://www.sec.gov/Archives/edgar/data/769520/0001213900-25-045048.txt,403b8f54852e2d2577d96f91a40b1acfce7632a9050e9dc316427d52c1b3ba73,,,,
AO13D-002,2013,0001053310-13-000001,IBIO,https://www.sec.gov/Archives/edgar/data/1053310/0001053310-13-000001.txt,c502e8a238192549a64e60062cb5f7f5127669da902b6504917034ed9d7e2f43,,,,
AO13D-003,2012,0001188112-12-002881,GCAP,https://www.sec.gov/Archives/edgar/data/1312548/0001188112-12-002881.txt,0337c46206b4f0eca12a0b55e5bf348b27bffb64939eed3e12b6af48376ee2af,,,,
AO13D-004,2016,0000921895-16-005015,SPRT,https://www.sec.gov/Archives/edgar/data/1104855/0000921895-16-005015.txt,68f710fae7e0d16d48df21b187e1dd2c55d3ba49b4eebccb812413877bccc1e6,,,,
AO13D-005,2012,0001193125-12-477516,MEMS1,https://www.sec.gov/Archives/edgar/data/1386198/0001193125-12-477516.txt,91c6bcf5e61247a462cebd8400dea2de2f7ef6627144403e2f56950f65844af7,,,,
AO13D-006,2018,0001085146-18-001556,ATHN1,https://www.sec.gov/Archives/edgar/data/1131096/0001085146-18-001556.txt,e74e319c3f19e058bdb148cb1368491d617242bbf932f2986f7d0e2e5c289e9e,,,,
AO13D-007,2017,0000807249-17-000032,RLJE,https://www.sec.gov/Archives/edgar/data/807249/0000807249-17-000032.txt,fd584776469c1131efc22f680bd6a92286bb61d197984b839e6aa94546b522ef,,,,
AO13D-008,2014,0001534701-14-000053,PSXP,https://www.sec.gov/Archives/edgar/data/1534701/0001534701-14-000053.txt,830d0e3fde0546a023fa426f9352bb5dbf85565413d139aef46fb1a1eeec2173,,,,
AO13D-009,2021,0001140361-21-008895,CALY,https://www.sec.gov/Archives/edgar/data/837465/0001140361-21-008895.txt,6647646a67fc196cf55ad14b4ed06e0221a9c52be7c207f8791d49551817822e,,,,
AO13D-010,2011,0000950123-11-022740,HAWKQ,https://www.sec.gov/Archives/edgar/data/1420192/0000950123-11-022740.txt,6c638e9dcbecdf5ace63a6c73b2bde09420c23b6054a21517a2de85c2b10b2d4,,,,
