packet_id,cik,accession,filing_year,form,document_url,has_item703_table,expected_month_rows,expected_total_row,label_notes
RP703-001,73290,0001493152-24-002331,2024,10-Q,https://www.sec.gov/Archives/edgar/data/73290/000149315224002331/form10-q.htm,,,,
RP703-002,1415404,0001104659-14-077192,2014,10-Q,https://www.sec.gov/Archives/edgar/data/1415404/000110465914077192/a14-19673_110q.htm,,,,
RP703-003,1035983,0001558370-20-008436,2020,10-Q,https://www.sec.gov/Archives/edgar/data/1035983/000155837020008436/fix-20200630x10q.htm,,,,
RP703-004,711377,0001193125-16-807397,2016,10-Q,https://www.sec.gov/Archives/edgar/data/711377/000119312516807397/d298040d10q.htm,,,,
RP703-005,1612720,0001558370-17-008579,2017,10-Q,https://www.sec.gov/Archives/edgar/data/1612720/000155837017008579/next-20170930x10q.htm,,,,
RP703-006,1262976,0001262976-16-000073,2016,10-K,https://www.sec.gov/Archives/edgar/data/1262976/000126297616000073/cmpr630201610k.htm,,,,
RP703-007,1404644,0001193125-19-066506,2019,10-K,https://www.sec.gov/Archives/edgar/data/1404644/000119312519066506/d640252d10k.htm,,,,
RP703-008,889971,0001387131-17-005372,2017,10-Q,https://www.sec.gov/Archives/edgar/data/889971/000138713117005372/lpth-10q_093017.htm,,,,
RP703-009,1733998,0001733998-20-000025,2020,10-Q,https://www.sec.gov/Archives/edgar/data/1733998/000173399820000025/a2020q1form10-qdocument.htm,,,,
RP703-010,1047127,0001047127-13-000007,2013,10-K,https://www.sec.gov/Archives/edgar/data/1047127/000104712713000007/amkr12311210k.htm,,,,
RP703-011,102109,0001144204-15-057285,2015,10-Q,https://www.sec.gov/Archives/edgar/data/102109/000114420415057285/v420711_10q.htm,,,,
RP703-012,1037646,0001037646-16-000043,2016,10-K,https://www.sec.gov/Archives/edgar/data/1037646/000103764616000043/mtd_10kx12312015.htm,,,,
RP703-013,1733998,0001733998-22-000005,2022,10-K,https://www.sec.gov/Archives/edgar/data/1733998/000173399822000005/nwn-20211231.htm,,,,
RP703-014,1604778,0001604778-17-000047,2017,10-Q,https://www.sec.gov/Archives/edgar/data/1604778/000160477817000047/qorvo20170701-10q.htm,,,,
RP703-015,727510,0001144204-15-014238,2015,10-K,https://www.sec.gov/Archives/edgar/data/727510/000114420415014238/v402704_10k.htm,,,,
RP703-016,727510,0001144204-16-099969,2016,10-Q,https://www.sec.gov/Archives/edgar/data/727510/000114420416099969/v438858_10q.htm,,,,
RP703-017,39020,0001185185-19-001020,2019,10-K,https://www.sec.gov/Archives/edgar/data/39020/000118518519001020/freqelec20190430_10k.htm,,,,
RP703-018,1178970,0001628280-17-008334,2017,10-Q,https://www.sec.gov/Archives/edgar/data/1178970/000162828017008334/pfs-6302017x10q.htm,,,,
RP703-019,1290658,0001683168-23-007976,2023,10-Q,https://www.sec.gov/Archives/edgar/data/1290658/000168316823007976/iiot_i10q-093023.htm,,,,
RP703-020,701985,0000701985-13-000012,2013,10-K,https://www.sec.gov/Archives/edgar/data/701985/000070198513000012/ltd22201310k.htm,,,,
RP703-021,1430723,0001144204-14-063656,2014,10-Q,https://www.sec.gov/Archives/edgar/data/1430723/000114420414063656/v391657_10q.htm,,,,
RP703-022,1057877,0001057877-19-000078,2019,10-Q,https://www.sec.gov/Archives/edgar/data/1057877/000105787719000078/ida3311910q.htm,,,,
RP703-023,773717,0001213900-25-078767,2025,10-Q,https://www.sec.gov/Archives/edgar/data/773717/000121390025078767/ea0253773-10q_american.htm,,,,
RP703-024,1262976,0001262976-18-000087,2018,10-Q,https://www.sec.gov/Archives/edgar/data/1262976/000126297618000087/cmpr930201810-q.htm,,,,
RP703-025,1178970,0001628280-22-013546,2022,10-Q,https://www.sec.gov/Archives/edgar/data/1178970/000162828022013546/pfs-20220331.htm,,,,
RP703-026,1023128,0001437749-13-004791,2013,10-Q,https://www.sec.gov/Archives/edgar/data/1023128/000143774913004791/lad_10q-033113.htm,,,,
RP703-027,1621434,0001564590-16-018818,2016,10-Q,https://www.sec.gov/Archives/edgar/data/1621434/000156459016018818/bsm-10q_20160331.htm,,,,
RP703-028,1177609,0001177609-21-000033,2021,10-Q,https://www.sec.gov/Archives/edgar/data/1177609/000117760921000033/five-20211030.htm,,,,
RP703-029,1080014,0001104659-15-057090,2015,10-Q,https://www.sec.gov/Archives/edgar/data/1080014/000110465915057090/a15-11951_110q.htm,,,,
RP703-030,1639300,0001140361-17-023471,2017,10-Q,https://www.sec.gov/Archives/edgar/data/1639300/000114036117023471/form10q.htm,,,,
RP703-031,1487918,0001487918-18-000052,2018,10-Q,https://www.sec.gov/Archives/edgar/data/1487918/000148791818000052/ofs2018q110-q.htm,,,,
RP703-032,1055160,0001055160-24-000023,2024,10-Q,https://www.sec.gov/Archives/edgar/data/1055160/000105516024000023/mfa-20240930.htm,,,,
RP703-033,1534504,0001534504-15-000088,2015,10-Q,https://www.sec.gov/Archives/edgar/data/1534504/000153450415000088/pbfenergy-9302015.htm,,,,
RP703-034,1041859,0001445305-14-001116,2014,10-K,https://www.sec.gov/Archives/edgar/data/1041859/000144530514001116/plce-212014x10k.htm,,,,
RP703-035,1290658,0001683168-25-003898,2025,10-Q,https://www.sec.gov/Archives/edgar/data/1290658/000168316825003898/iiot_i10q-033125.htm,,,,
RP703-036,1280263,0000950170-25-080767,2025,10-Q,https://www.sec.gov/Archives/edgar/data/1280263/000095017025080767/amba-20250430.htm,,,,
RP703-037,894556,0001683168-23-002251,2023,10-Q,https://www.sec.gov/Archives/edgar/data/894556/000168316823002251/general_10q-033119.htm,,,,
RP703-038,872589,0001804220-24-000009,2024,10-K,https://www.sec.gov/Archives/edgar/data/872589/000180422024000009/regn-20231231.htm,,,,
RP703-039,1509470,0001493152-23-016116,2023,10-Q,https://www.sec.gov/Archives/edgar/data/1509470/000149315223016116/form10-q.htm,,,,
RP703-040,1108426,0001108426-18-000025,2018,10-Q,https://www.sec.gov/Archives/edgar/data/1108426/000110842618000025/pnm331201810-q.htm,,,,
RP703-041,1171838,0001493152-22-022941,2022,10-Q,https://www.sec.gov/Archives/edgar/data/1171838/000149315222022941/form10-q.htm,,,,
RP703-042,1041859,0001445305-13-003109,2013,10-Q,https://www.sec.gov/Archives/edgar/data/1041859/000144530513003109/plce-11x02x2013x10q.htm,,,,
RP703-043,1089063,0001089063-19-000017,2019,10-K,https://www.sec.gov/Archives/edgar/data/1089063/000108906319000017/dks-10k_20190202.htm,,,,
RP703-044,1604778,0001604778-23-000055,2023,10-K,https://www.sec.gov/Archives/edgar/data/1604778/000160477823000055/rfmd-20230401.htm,,,,
RP703-045,1280776,0001280776-21-000009,2021,10-K,https://www.sec.gov/Archives/edgar/data/1280776/000128077621000009/imux-20201231.htm,,,,
RP703-046,1005284,0001005284-14-000067,2014,10-Q,https://www.sec.gov/Archives/edgar/data/1005284/000100528414000067/oled201410-q2.htm,,,,
RP703-047,1024478,0001024478-21-000005,2021,10-Q,https://www.sec.gov/Archives/edgar/data/1024478/000102447821000005/rok-20201231.htm,,,,
